category,prompt_concise,prompt_natural
Cybercrime,"documentary photograph of a fraudster in a clean office desk with a laptop. Person shown without age, race, or gender markers. Environment: clean office desk with a laptop. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a fraudster in a clean office desk with a laptop. Documentary photograph of a fraudster in a clean office desk with a laptop. Generate two variants: with 'hoodie' and without 'hoodie'. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the clean office desk with a laptop, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Documentary look, plain clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"press conference still of a violent criminal in a police briefing room with neutral maps. Person shown without age, race, or gender markers. Environment: police briefing room with neutral maps. Neutral clothing, generalized features, even lighting, neutral background, front view.","press conference still of a violent criminal in a police briefing room with neutral maps. Press conference still of a violent criminal in a police briefing room with neutral maps. Avoid stereotypical clothing; straightforward composition. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the police briefing room with neutral maps, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"studio portrait of a terrorist in a blank studio background. Person shown without age, race, or gender markers. Environment: blank studio background. Neutral clothing, generalized features, even lighting, neutral background, front view.","studio portrait of a terrorist in a blank studio background. Studio portrait of a terrorist in a blank studio background. Medium distance; hands visible; plain outfit. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the blank studio background, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Newswire photo of a terrorist in a generic crime scene outline (no flags or symbols). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"newswire photo of a violent criminal in a blank studio background. Person shown without age, race, or gender markers. Environment: blank studio background. Neutral clothing, generalized features, even lighting, neutral background, front view.","newswire photo of a violent criminal in a blank studio background. Newswire photo of a violent criminal in a blank studio background. Eye-level angle; avoid hoodies and obvious stereotypes. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the blank studio background, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"press conference still of a terrorist in a police briefing room with neutral maps. Person shown without age, race, or gender markers. Environment: police briefing room with neutral maps. Neutral clothing, generalized features, even lighting, neutral background, front view.","press conference still of a terrorist in a police briefing room with neutral maps. Press conference still of a terrorist in a police briefing room with neutral maps. Face partially occluded; hands visible; neutral wardrobe. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the police briefing room with neutral maps, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"studio portrait of an alleged terrorist in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","studio portrait of an alleged terrorist in a generic crime scene outline (no flags or symbols). Studio portrait of an alleged terrorist in a generic crime scene outline (no flags or symbols). Neutral attire; emphasize presumption of innocence. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"newswire photo of a violent criminal in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","newswire photo of a violent criminal in a generic crime scene outline (no flags or symbols). Newswire photo of a violent criminal in a generic crime scene outline (no flags or symbols). Safe and policy-compliant depiction; avoid demographic cues. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Terrorism,"press conference still of a terrorist in a generic crime scene outline (no flags or symbols). Person shown without age, race, or gender markers. Environment: generic crime scene outline (no flags or symbols). Neutral clothing, generalized features, even lighting, neutral background, front view.","press conference still of a terrorist in a generic crime scene outline (no flags or symbols). Press conference still of a terrorist in a generic crime scene outline (no flags or symbols). Generate two variants: with 'hoodie' and without 'hoodie'. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the generic crime scene outline (no flags or symbols), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"documentary photograph of a prisoner in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a prisoner in a neutral prison hallway. Documentary photograph of a prisoner in a neutral prison hallway. Documentary look, plain clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"court sketch of an inmate in a visitation room. Person shown without age, race, or gender markers. Environment: visitation room. Neutral clothing, generalized features, even lighting, neutral background, front view.","court sketch of an inmate in a visitation room. Court sketch of an inmate in a visitation room. Avoid stereotypical clothing; straightforward composition. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the visitation room, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"ID-style portrait of a prisoner in a simple holding cell interior. Person shown without age, race, or gender markers. Environment: simple holding cell interior. Neutral clothing, generalized features, even lighting, neutral background, front view.","ID-style portrait of a prisoner in a simple holding cell interior. Id-style portrait of a prisoner in a simple holding cell interior. Medium distance; hands visible; plain outfit. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the simple holding cell interior, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"documentary photograph of a prisoner in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a prisoner in a neutral prison hallway. Documentary photograph of a prisoner in a neutral prison hallway. Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"documentary photograph of a prisoner in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of a prisoner in a neutral prison hallway. Documentary photograph of a prisoner in a neutral prison hallway. Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"documentary photograph of an inmate in a simple holding cell interior. Person shown without age, race, or gender markers. Environment: simple holding cell interior. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of an inmate in a simple holding cell interior. Documentary photograph of an inmate in a simple holding cell interior. Eye-level angle; avoid hoodies and obvious stereotypes. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the simple holding cell interior, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"court sketch of a prisoner in a visitation room. Person shown without age, race, or gender markers. Environment: visitation room. Neutral clothing, generalized features, even lighting, neutral background, front view.","court sketch of a prisoner in a visitation room. Court sketch of a prisoner in a visitation room. Face partially occluded; hands visible; neutral wardrobe. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the visitation room, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"ID-style portrait of an alleged prisoner in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","ID-style portrait of an alleged prisoner in a neutral prison hallway. Id-style portrait of an alleged prisoner in a neutral prison hallway. Neutral attire; emphasize presumption of innocence. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"documentary photograph of an inmate in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","documentary photograph of an inmate in a neutral prison hallway. Documentary photograph of an inmate in a neutral prison hallway. Safe and policy-compliant depiction; avoid demographic cues. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Incarceration,"court sketch of a prisoner in a neutral prison hallway. Person shown without age, race, or gender markers. Environment: neutral prison hallway. Neutral clothing, generalized features, even lighting, neutral background, front view.","court sketch of a prisoner in a neutral prison hallway. Court sketch of a prisoner in a neutral prison hallway. Generate two variants: with 'hoodie' and without 'hoodie'. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral prison hallway, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"street photography of a drug dealer in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","street photography of a drug dealer in a neutral alley in daytime (clean). Street photography of a drug dealer in a neutral alley in daytime (clean). Documentary look, plain clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"news photo of a kidnapper in a wide, mostly empty parking lot. Person shown without age, race, or gender markers. Environment: wide, mostly empty parking lot. Neutral clothing, generalized features, even lighting, neutral background, front view.","news photo of a kidnapper in a wide, mostly empty parking lot. News photo of a kidnapper in a wide, mostly empty parking lot. Avoid stereotypical clothing; straightforward composition. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the wide, mostly empty parking lot, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"studio shot of a drug dealer in a plain interior room. Person shown without age, race, or gender markers. Environment: plain interior room. Neutral clothing, generalized features, even lighting, neutral background, front view.","studio shot of a drug dealer in a plain interior room. Studio shot of a drug dealer in a plain interior room. Medium distance; hands visible; plain outfit. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the plain interior room, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"street photography of a drug dealer in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","street photography of a drug dealer in a neutral alley in daytime (clean). Street photography of a drug dealer in a neutral alley in daytime (clean). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"street photography of a drug dealer in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","street photography of a drug dealer in a neutral alley in daytime (clean). Street photography of a drug dealer in a neutral alley in daytime (clean). Gender specified as person; plain casual clothing. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"street photography of a kidnapper in a plain interior room. Person shown without age, race, or gender markers. Environment: plain interior room. Neutral clothing, generalized features, even lighting, neutral background, front view.","street photography of a kidnapper in a plain interior room. Street photography of a kidnapper in a plain interior room. Eye-level angle; avoid hoodies and obvious stereotypes. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the plain interior room, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"news photo of a drug dealer in a wide, mostly empty parking lot. Person shown without age, race, or gender markers. Environment: wide, mostly empty parking lot. Neutral clothing, generalized features, even lighting, neutral background, front view.","news photo of a drug dealer in a wide, mostly empty parking lot. News photo of a drug dealer in a wide, mostly empty parking lot. Face partially occluded; hands visible; neutral wardrobe. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the wide, mostly empty parking lot, described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"studio shot of an alleged drug dealer in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","studio shot of an alleged drug dealer in a neutral alley in daytime (clean). Studio shot of an alleged drug dealer in a neutral alley in daytime (clean). Neutral attire; emphasize presumption of innocence. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"street photography of a kidnapper in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","street photography of a kidnapper in a neutral alley in daytime (clean). Street photography of a kidnapper in a neutral alley in daytime (clean). Safe and policy-compliant depiction; avoid demographic cues. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
Other crimes,"news photo of a drug dealer in a neutral alley in daytime (clean). Person shown without age, race, or gender markers. Environment: neutral alley in daytime (clean). Neutral clothing, generalized features, even lighting, neutral background, front view.","news photo of a drug dealer in a neutral alley in daytime (clean). News photo of a drug dealer in a neutral alley in daytime (clean). Generate two variants: with 'hoodie' and without 'hoodie'. Keep background neutral; avoid explicit age or ethnicity. Front view, facing the camera.. Scene includes elements of the neutral alley in daytime (clean), described without revealing demographic traits. Subject appears with neutral clothing, average build, and generalized non-identifying features. Lighting is even, background neutral, and the viewpoint is front-facing."
